Final exam (FE) Q1 (max mark 24) - Financial accounting,Final exam (FE) Q2 (max mark 13) - Activity based costing,Final exam (FE) Q3 (max mark 9) - Cost volume profit analysis ,Final exam (FE) Q4 (max mark 10) - Decision making,Final exam (FE) Q5 (max mark 22) - Earnings management,Total Facebook time (minutes),Communications with friends and family*FB time,Enjoyment and entertainment*FB time,Filling in 'dead' or vacant time*FB time,Keeping informed about events and news*FB time,Education and study*FB time,Work related reasons*FB time,Arrange a meeting for a group project*FB time,Contact another student with a question related to class or university work*FB time,Discuss university work*FB time,Ask a classmate for help in the class*FB time,Help manage a group project*FB time,Collaborate on an assignment in a way my instructor would like*FB time,Arrange a face–to–face study group*FB time,Accounting major dummy 1=Yes; 0=No,Age when studying 22107,Gender Dummy 1=Male. 0=Female,WAM,Year of Study,Linkedin total time (minutes),Snapchat total time (minutes),Twitter total time (minutes),Final exam (FE) total (max mark 100)
7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.89,1,45.5,0,0,0,0,20
5,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.64,1,48,0,0,0,0,28
6,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03,0,51,0,0,0,0,24
14,0,9,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.14,0,59.33,0,0,0,0,52
7.5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.42,0,62.33,0,0,0,0,29.5
10,7,9,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.90,1,63.5,0,0,0,0,62
15,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.92,1,64.67,0,0,0,0,35
13,10,7,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.16,1,67.33,0,0,0,0,42
12,13,9,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,1,72,0,0,0,0,52
18,7,5,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00,1,80.67,0,0,0,0,71
11.5,11,9,9,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.72,1,83.67,0,0,0,0,67
12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,0,79.43,0.5,10,0,0,29
19,8,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,84,0,60,0,0,63
5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,0,60,0,0,26
13,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,83,0,210,0,0,48
14,8,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.72,0,65.67,0,0,60,0,39
11,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.25,0,73.3,0,0,60,0,21
19,13,9,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.53,0,76,0,0,120,0,56
15.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.81,0,57.83,3,60,120,0,27
11,12,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.47,0,57.5,0.5,0,128,0,49
15.5,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.11,0,70.67,0,0,300,0,35.5
12,8,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.73,0,71.67,0,0,300,0,38
15,2,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.38,0,53,0,0,480,0,47
19,7,9,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.44,0,65,0,0,60,20,77
20,13,9,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.13,1,87.67,0,0,480,30,91
14,9,8,6.5,0,1,2,3,1,1,1,1,1,4,4,4,3,2,1,1,19.64,0,62.33,0,0,0,5,37.5
6,0,5,4,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,0,18.03,0,51,0,,,,24
2.5,6,2,4,5,5,5,10,5,5,10,5,20,20,20,20,20,20,20,0,19.61,0,44.5,0,0,0,30,30.5
22,8,9,10,13,2,6,6,6,6,6,6,6,6,6,6,6,6,6,0,32.67,1,81.33,0,0,0,0,80
8,6,0,0,0,2,8,8,8,8,8,8,8,8,8,8,0,8,8,0,19.61,0,63.33,0,0,0,0,29
19,12,4,0,14,2,8,2,2,2,8,2,4,6,6,8,6,6,2,0,18.82,1,86,0,0,0,0,70
15,5,4,0,5,5,15,15,15,15,15,15,20,20,15,20,20,10,10,0,18.77,0,75,0,0,180,0,29
10,10,7,9,11,5,20,10,5,15,20,5,25,25,25,25,20,25,25,0,20.81,0,84.33,0,0,0,0,65
11,0,6,9,3,5,20,20,5,15,15,5,25,5,5,5,20,5,5,0,18.29,1,71.57,0.5,0,0,0,42
5.5,0,2,4,15,5,20,5,25,20,5,5,25,25,25,25,25,25,25,0,22.10,0,72,0,60,0,0,26.5
